"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"SPICEPREFIX";
"3";"";"AK500/2";"AK500/2";"X1, X2, X3";"CONNECTOR";"";"";"unknown";"unknown";"";
"2";"100k";"R-US_0207/12";"0207/12";"R2, R3";"RESISTOR, American symbol";"";"";"";"";"R";
"3";"100n";"C-EU050-024X044";"C050-024X044";"C1, C8, C9";"CAPACITOR, European symbol";"";"";"";"";"C";
"1";"100u";"CPOL-EUE3.5-10";"E3,5-10";"C2";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"C";
"2";"10k";"R-US_0207/12";"0207/12";"R4, R10";"RESISTOR, American symbol";"";"";"";"";"R";
"2";"220R";"R-US_0207/12";"0207/12";"R7, R8";"RESISTOR, American symbol";"";"";"";"";"R";
"1";"220u";"CPOL-EUE3.5-10";"E3,5-10";"C5";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"C";
"1";"2N3906";"2N3906-PNP-TO92-EBC";"TO92-EBC";"Q1";"PNP Transistror";"";"";"";"";"";
"1";"2k2";"R-US_0207/12";"0207/12";"R9";"RESISTOR, American symbol";"";"";"";"";"R";
"1";"2k7";"R-US_0207/12";"0207/12";"R6";"RESISTOR, American symbol";"";"";"";"";"R";
"2";"4700u";"CPOL-EUE7.5-16";"E7,5-16";"C6, C7";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"C";
"1";"470n";"C-EU050-024X044";"C050-024X044";"C3";"CAPACITOR, European symbol";"";"";"";"";"C";
"1";"470u";"CPOL-EUE7.5-16";"E7,5-16";"C4";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"C";
"1";"47R";"R-US_0207/12";"0207/12";"R5";"RESISTOR, American symbol";"";"";"";"";"R";
"1";"47k";"R-US_0207/12";"0207/12";"R1";"RESISTOR, American symbol";"";"";"";"";"R";
"1";"4R7";"R-US_0207/12";"0207/12";"R11";"RESISTOR, American symbol";"";"";"";"";"R";
"1";"BD135";"-NPN-TO126V";"TO126V";"Q2";"NPN Transistror";"";"";"";"";"";
"1";"OSHW-LOGOM";"OSHW-LOGOM";"OSHW-LOGO-M";"LOGO1";"Open-Source Hardware (OSHW) Logo";"";"";"";"";"";
"2";"TIP3055";"TIP3055";"TOP3AV";"Q3, Q4";"NPN TRANSISTOR";"";"";"";"";"";
